Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Objective,rsi-value,rsi-enabled,trigger,sell-rsi-value,sell-rsi-enabled,sell-trigger,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
,108,387,-0.03%,0.0,-0.00128079,BTC,-12.79,516.7 m,4.27327,15,False,bb_lower_1,94,True,sell-bb_middle_1,80,19,16,0.039,0.015,0.089,-0.292
,109,340,-0.04%,0.2067695,-0.00138823,BTC,-13.87,597.8 m,3.79044,22,False,bb_lower_1,90,True,sell-bb_upper_1,87,31,35,0.011,0.022,0.154,-0.333
,110,354,-0.03%,0.999001,-0.00112607,BTC,-11.25,559.1 m,3.38994,23,False,bb_lower_1,92,True,sell-bb_upper_1,91,58,40,0.01,0.056,0.103,-0.287
Best,111,338,0.13%,0.0,0.00451749,BTC,45.13,607.5 m,-3.62023,21,False,bb_lower_1,98,True,sell-bb_upper_1,90,48,34,0.023,0.026,0.087,-0.299
,112,331,0.05%,0.004151,0.00158983,BTC,15.88,613.2 m,0.07897,10,False,bb_lower_1,94,True,sell-bb_upper_1,116,53,37,0.016,0.031,0.029,-0.291
,113,304,0.07%,0.0,0.00213340,BTC,21.31,684.9 m,-0.67202,35,False,bb_lower_1,89,True,sell-bb_upper_1,103,50,40,0.017,0.065,0.185,-0.345
,114,288,0.09%,0.0,0.00247793,BTC,24.75,744.3 m,-1.20806,33,False,bb_lower_1,98,True,sell-bb_upper_1,106,52,34,0.034,0.048,0.024,-0.346
,115,349,0.06%,0.0,0.00218890,BTC,21.87,568.5 m,-0.49423,37,False,bb_lower_1,89,True,sell-bb_upper_1,91,56,34,0.027,0.015,0.14,-0.269
,116,316,0.02%,0.10102349999999999,0.00059982,BTC,5.99,656.3 m,1.17526,43,False,bb_lower_1,88,True,sell-bb_upper_1,96,56,29,0.013,0.019,0.188,-0.328
,117,334,0.13%,0.0,0.00436113,BTC,43.57,608.6 m,-3.00682,10,False,bb_lower_1,86,True,sell-bb_upper_1,97,53,32,0.028,0.044,0.172,-0.279
Best,118,294,0.18%,0.0,0.00519621,BTC,51.91,721.0 m,-4.67345,19,False,bb_lower_1,89,True,sell-bb_upper_1,96,52,30,0.028,0.039,0.184,-0.338
,119,347,0.14%,0.0,0.00471965,BTC,47.15,582.3 m,-3.44859,34,False,bb_lower_1,87,True,sell-bb_upper_1,89,60,35,0.035,0.028,0.016,-0.271
,120,294,0.16%,0.0,0.00461379,BTC,46.09,732.4 m,-4.01988,21,False,bb_lower_1,90,True,sell-bb_upper_1,93,51,35,0.04,0.04,0.078,-0.336
,121,349,0.06%,0.0,0.00221650,BTC,22.14,570.5 m,-0.54934,19,False,bb_lower_1,91,True,sell-bb_upper_1,93,59,36,0.028,0.012,0.063,-0.26
,122,409,0.07%,0.0,0.00285492,BTC,28.52,462.7 m,-1.09482,14,False,bb_lower_1,86,True,sell-bb_upper_1,98,23,37,0.04,0.038,0.021,-0.207
,123,359,0.11%,0.0,0.00411638,BTC,41.12,554.0 m,-2.75948,29,False,bb_lower_1,85,True,sell-bb_upper_1,99,47,36,0.04,0.041,0.07,-0.232
,124,373,0.08%,0.0,0.00309477,BTC,30.92,523.6 m,-1.61311,49,False,bb_lower_1,100,True,sell-bb_upper_1,101,43,38,0.031,0.067,0.073,-0.195
,125,387,-0.04%,0.0,-0.00149113,BTC,-14.90,492.4 m,4.41704,28,False,bb_lower_1,87,True,sell-bb_upper_1,115,51,38,0.03,0.057,0.053,-0.165
,126,395,-0.11%,0.0,-0.00417862,BTC,-41.74,482.2 m,8.36409,11,False,bb_lower_1,97,True,sell-bb_upper_1,65,52,30,0.039,0.02,0.051,-0.213
,127,369,0.08%,0.0,0.00309409,BTC,30.91,530.0 m,-1.61209,42,False,bb_lower_1,76,True,sell-bb_upper_1,113,34,36,0.04,0.034,0.064,-0.218
,128,643,-0.03%,0.023967,-0.00171483,BTC,-17.13,212.4 m,8.63180,37,False,bb_lower_1,46,True,sell-bb_upper_1,98,38,39,0.032,0.057,0.081,-0.231
,129,681,-0.12%,0.0,-0.00847571,BTC,-84.67,192.5 m,22.62852,22,False,bb_lower_1,46,True,sell-bb_upper_1,43,52,35,0.033,0.054,0.014,-0.229
,130,435,-0.10%,0.0,-0.00420296,BTC,-41.99,422.0 m,8.91826,35,False,bb_lower_1,83,True,sell-bb_upper_1,84,23,31,0.038,0.017,0.011,-0.181
,131,707,-0.12%,0.0,-0.00852519,BTC,-85.17,182.4 m,23.68940,37,False,bb_lower_1,47,True,sell-bb_upper_1,45,34,36,0.031,0.051,0.067,-0.169
,132,500,-0.29%,0.0,-0.01451884,BTC,-145.04,350.1 m,25.34835,38,False,bb_lower_1,83,True,sell-bb_upper_1,16,53,30,0.037,0.045,0.08,-0.149
,133,412,-0.05%,0.0,-0.00218605,BTC,-21.84,448.3 m,5.55391,39,False,bb_lower_1,87,True,sell-bb_lower_1,102,47,36,0.022,0.056,0.078,-0.163
,134,608,-0.12%,0.0,-0.00713717,BTC,-71.30,264.4 m,17.72074,14,False,bb_lower_1,94,True,sell-bb_upper_1,94,43,32,0.039,0.039,0.133,-0.06
